"","x"
"526","Erlin2"
"527","Pcm1"
"528","Klhl2"
"529","Gatad2a"
"530","Klhl26"
"531","Ell"
"532","Med26"
"533","Otud4"
"534","Scoc"
"535","Ddx39"
"536","Asf1b"
"537","Dnaja2"
"538","Siah1a"
"539","N4bp1"
"540","N4bp1"
"541","Dync1li2"
"542","Pskh1"
"543","Nfatc3"
"544","Nfatc3"
"545","Nfatc3"
"546","Nfatc3"
"547","Nfatc3"
"548","Atxn1l"
"549","Atxn1l"
"550","Phlpp2"
"551","Gse1"
"552","Cbfa2t3"
"553","Chordc1"
"554","Carm1"
"555","Zbtb44"
"556","Srpr"
"557","Cdon"
"558","Chek1"
"559","Arcn1"
"560","Kmt2a"
"561","Il10ra"
"562","Bace1"
"563","Sidt2"
"564","Pafah1b2"
"565","Ppp2r1b"
"566","Arih1"
"567","Arih1"
"568","Kif23"
"569","Smad3"
"570","Zfp609"
"571","Rora"
"572","Phip"
"573","U2surp"
"574","Pcbp4"
"575","Rbm6"
"576","Usp19"
"577","Prkar2a"
"578","Prkar2a"
"579","Cdc25a"
"580","Cdc25a"
"581","Map4"
"582","Pdcd6ip"
"583","Acvr2b"
"584","Snrk"
"585","Clcn5"
"586","Usp9x"
"587","Cask"
"588","Lonrf3"
"589","Rap2c"
"590","Zfp275"
"591","Vbp1"
"592","Amer1"
"593","Amer1"
"594","Amer1"
"595","Ogt"
"596","Atp7a"
"597","Atp7a"
"598","Gpr174"
"599","Armcx2"
"600","Acsl4"
"601","Rps6ka3"
"602","Zrsr2"
"603","Ddx3y"
